Calculation started with 1 processes.
R_esc = 452.228
R_LC = 1591.55
Emission mode = O
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
-14.5 -0.00714226 0.000524241 -1.49753
